ts_ms,equity
1789592050000,10000.0000
1789596135000,10152.0016
1789596505000,10054.5554
1789610140000,10207.3862
1789621115000,10109.3823
1789636710000,10263.0432
1789662780000,10164.5312
1789664530000,10066.9387
1789672720000,9970.3089
1789682230000,9874.6067
1789693265000,10024.6992
1789698425000,10177.0730
1789701030000,10079.3601
1789707595000,9982.5853
1789714600000,9886.7653
1789716280000,9791.8397
1789718505000,9697.8255
1789719015000,9604.7388
1789722505000,9512.5210
1789722735000,9421.2130
1789723755000,9330.7814
1789731820000,9241.2178
1789738740000,9381.6828
1789738980000,9291.6067
1789739045000,9202.3954
1789739155000,9114.0406
1789740920000,9026.5341
1789741625000,9163.7389
1789741730000,9075.7553
1789741815000,8988.6396
1789742165000,8902.3372
1789742885000,8816.8634
1789743645000,8732.2102
1789743735000,8648.3921
1789744170000,8565.3786
1789744575000,8695.5710
1789745105000,8612.0824
1789745460000,8529.4175
1789748255000,8447.5241
1789749180000,8366.4171
1789754325000,8286.0888
1789756760000,8206.5317
1789758960000,8331.2697
1789760925000,8251.2788
1789768266000,8201.8212
